country,Time_to_crack_in_seconds
United States,86400
United Arab Emirates,86400
Ireland,86400
South Africa,86400
Korea,86400
Sweden,172800
Hungary,259200
Finland,1036800
Japan,1036800
Israel,1036800
Malaysia,1036800
Norway,1036800
Philippines,1036800
Latvia,1036800
Romania,1036800
Slovak Republic,1036800
Belgium,1036800
United Kingdom,1036800
Poland,1036800
China,2332800
Nigeria,5356800
Switzerland,10713600
Ukraine,10713600
Australia,10713600
Lithuania,10713600
Czech Republic,10713600
Italy,10713600
France,10713600
Estonia,10713600
Russia,26784000
New Zealand,32140800
Saudi Arabia,96422400
Colombia,96422400
Denmark,96422400
Austria,96422400
Germany,96422400
India,96422400
Mexico,96422400
Thailand,96422400
Netherlands,128563200
Greece,160704000
Turkey,514252800
Canada,996364800
Vietnam,996364800
Spain,996364800
Portugal,996364800
Chile,1221350400
Brazil,3214080000
Indonesia,3214080000
